cl_dbc_tarief_agb_code|cl_productgroep_code|cl_declaratiecode|cl_declaratiecode_kleur|cl_dbc_tarief_basis|cl_dbc_tarief_max|cl_dbc_nhc_tarief|cl_dbc_tarief_begindatum|cl_dbc_tarief_einddatum|cl_dbc_tarief_mutatie
0329|142038|100046|groen|5643000|0|0|20090101|20091231|
0329|142038|100046|groen|5510500|0|0|20100101|20101231|
0329|142038|100046|groen|5605062|0|0|20110101|20111231|
0329|142040|100047|groen|5112600|0|0|20090101|20091231|
0329|142040|100047|groen|4992500|0|0|20100101|20101231|
0329|142040|100047|groen|5078173|0|0|20110101|20111231|
0329|142041|100048|groen|5226200|0|0|20090101|20091231|
0329|142041|100048|groen|5103500|0|0|20100101|20101231|
0329|142041|100048|groen|5191078|0|0|20110101|20111231|
0329|142042|100049|groen|5410600|0|0|20090101|20091231|
0329|142042|100049|groen|5283500|0|0|20100101|20101231|
0329|142042|100049|groen|5374167|0|0|20110101|20111231|
0329|142044|100050|groen|5101500|0|0|20090101|20091231|
0329|142044|100050|groen|4981700|0|0|20100101|20101231|
0329|142044|100050|groen|5067188|0|0|20110101|20111231|
0329|142045|100051|groen|5116300|0|0|20090101|20091231|
0329|142045|100051|groen|4996100|0|0|20100101|20101231|
0329|142045|100051|groen|5081835|0|0|20110101|20111231|
0329|142046|100052|groen|5189200|0|0|20090101|20091231|
0329|142046|100052|groen|5067300|0|0|20100101|20101231|
0329|142046|100052|groen|5154257|0|0|20110101|20111231|
0329|142047|100053|groen|5220700|0|0|20090101|20091231|
0329|142047|100053|groen|5098000|0|0|20100101|20101231|
0329|142047|100053|groen|5185483|0|0|20110101|20111231|
0329|142048|100054|groen|5364600|0|0|20090101|20091231|
0329|142048|100054|groen|5238600|0|0|20100101|20101231|
0329|142048|100054|groen|5328496|0|0|20110101|20111231|
0329|142049|100055|groen|5641100|0|0|20090101|20091231|
0329|142049|100055|groen|5508500|0|0|20100101|20101231|
0329|142049|100055|groen|5603028|0|0|20110101|20111231|
0329|142051|100056|groen|5089100|0|0|20090101|20091231|
0329|142051|100056|groen|4969500|0|0|20100101|20101231|
0329|142051|100056|groen|5054778|0|0|20110101|20111231|
0329|142052|100057|groen|5203100|0|0|20090101|20091231|
0329|142052|100057|groen|5080800|0|0|20100101|20101231|
0329|142052|100057|groen|5167988|0|0|20110101|20111231|
0329|142053|100058|groen|5373900|0|0|20090101|20091231|
0329|142053|100058|groen|5247600|0|0|20100101|20101231|
0329|142053|100058|groen|5337651|0|0|20110101|20111231|
0329|142054|100059|groen|5627000|0|0|20090101|20091231|
0329|142054|100059|groen|5494800|0|0|20100101|20101231|
0329|142054|100059|groen|5589093|0|0|20110101|20111231|
0329|142056|100060|groen|5091500|0|0|20090101|20091231|
0329|142056|100060|groen|4971900|0|0|20100101|20101231|
0329|142056|100060|groen|5057220|0|0|20110101|20111231|
0329|142057|100061|groen|5200800|0|0|20090101|20091231|
0329|142058|100062|groen|5242300|0|0|20090101|20091231|
0329|142059|100063|groen|5367300|0|0|20090101|20091231|
0329|142059|100063|groen|5241300|0|0|20100101|20101231|
0329|142059|100063|groen|5331243|0|0|20110101|20111231|
0329|142060|100064|groen|5628000|0|0|20090101|20091231|
0329|142060|100064|groen|5495800|0|0|20100101|20101231|
0329|142060|100064|groen|5590110|0|0|20110101|20111231|
0329|142062|100065|groen|5099200|0|0|20090101|20091231|
0329|142062|100065|groen|4979400|0|0|20100101|20101231|
0329|142062|100065|groen|5064848|0|0|20110101|20111231|
0329|142063|100066|groen|5113500|0|0|20090101|20091231|
0329|142063|100066|groen|4993400|0|0|20100101|20101231|
0329|142063|100066|groen|5079089|0|0|20110101|20111231|
0329|142064|100067|groen|5198900|0|0|20090101|20091231|
0329|142065|100068|groen|5218300|0|0|20090101|20091231|
0329|142066|100069|groen|5379200|0|0|20090101|20091231|
0329|142066|100069|groen|5252800|0|0|20100101|20101231|
0329|142066|100069|groen|5342940|0|0|20110101|20111231|
0329|142067|100070|groen|5619600|0|0|20090101|20091231|
0329|142067|100070|groen|5487600|0|0|20100101|20101231|
0329|142067|100070|groen|5581769|0|0|20110101|20111231|
0329|142068|100071|groen|6140200|0|0|20090101|20091231|
0329|142068|100071|groen|5996000|0|0|20100101|20101231|
0329|142068|100071|groen|6098894|0|0|20110101|20111231|
0329|142070|100072|groen|5103600|0|0|20090101|20091231|
0329|142070|100072|groen|4983700|0|0|20100101|20101231|
0329|142070|100072|groen|5069222|0|0|20110101|20111231|
0329|142071|100073|groen|5124600|0|0|20090101|20091231|
0329|142071|100073|groen|5004200|0|0|20100101|20101231|
0329|142071|100073|groen|5090074|0|0|20110101|20111231|
0329|142072|100074|groen|5205000|0|0|20090101|20091231|
0329|142072|100074|groen|5082700|0|0|20100101|20101231|
0329|142072|100074|groen|5169921|0|0|20110101|20111231|
0329|142073|100075|groen|5234500|0|0|20090101|20091231|
0329|142073|100075|groen|5111500|0|0|20100101|20101231|
0329|142073|100075|groen|5199215|0|0|20110101|20111231|
0329|142074|100076|groen|5373600|0|0|20090101|20091231|
0329|142074|100076|groen|5247400|0|0|20100101|20101231|
0329|142074|100076|groen|5337447|0|0|20110101|20111231|
0329|142075|100077|groen|5411100|0|0|20090101|20091231|
0329|142075|100077|groen|5284000|0|0|20100101|20101231|
0329|142075|100077|groen|5374675|0|0|20110101|20111231|
0329|142076|100078|groen|5631900|0|0|20090101|20091231|
0329|142076|100078|groen|5499600|0|0|20100101|20101231|
0329|142076|100078|groen|5593975|0|0|20110101|20111231|
0329|142077|100079|groen|5710900|0|0|20090101|20091231|
0329|142077|100079|groen|5576700|0|0|20100101|20101231|
0329|142077|100079|groen|5672398|0|0|20110101|20111231|
0329|142078|100080|groen|6170200|0|0|20090101|20091231|
0329|142078|100080|groen|6025300|0|0|20100101|20101231|
0329|142078|100080|groen|6128696|0|0|20110101|20111231|
0329|142079|100081|groen|6359800|0|0|20090101|20091231|
0329|142079|100081|groen|6210400|0|0|20100101|20101231|
0329|142079|100081|groen|6316973|0|0|20110101|20111231|
0329|142081|100082|groen|5101200|0|0|20090101|20091231|
0329|142082|100083|groen|5116700|0|0|20090101|20091231|
0329|142083|100084|groen|5217000|0|0|20090101|20091231|
0329|142083|100084|groen|5094400|0|0|20100101|20101231|
0329|142083|100084|groen|5181822|0|0|20110101|20111231|
0329|142084|100085|groen|5246800|0|0|20090101|20091231|
0329|142084|100085|groen|5123600|0|0|20100101|20101231|
0329|142084|100085|groen|5211523|0|0|20110101|20111231|
0329|142085|100086|groen|5351800|0|0|20090101|20091231|
0329|142086|100087|groen|5431000|0|0|20090101|20091231|
0329|142087|100088|groen|5662300|0|0|20090101|20091231|
0329|142087|100088|groen|5529300|0|0|20100101|20101231|
0329|142087|100088|groen|5624185|0|0|20110101|20111231|
0329|142089|100089|groen|5102300|0|0|20090101|20091231|
0329|142089|100089|groen|4982400|0|0|20100101|20101231|
0329|142089|100089|groen|5067900|0|0|20110101|20111231|
0329|142090|100090|groen|5116500|0|0|20090101|20091231|
0329|142090|100090|groen|4996300|0|0|20100101|20101231|
0329|142090|100090|groen|5082038|0|0|20110101|20111231|
0329|142091|100091|groen|5202100|0|0|20090101|20091231|
0329|142091|100091|groen|5079900|0|0|20100101|20101231|
0329|142091|100091|groen|5167073|0|0|20110101|20111231|
0329|142092|100092|groen|5225000|0|0|20090101|20091231|
0329|142092|100092|groen|5102300|0|0|20100101|20101231|
0329|142092|100092|groen|5189857|0|0|20110101|20111231|
0329|142093|100093|groen|5379800|0|0|20090101|20091231|
0329|142093|100093|groen|5253400|0|0|20100101|20101231|
0329|142093|100093|groen|5343550|0|0|20110101|20111231|
0329|142094|100094|groen|5428900|0|0|20090101|20091231|
0329|142094|100094|groen|5301400|0|0|20100101|20101231|
0329|142094|100094|groen|5392374|0|0|20110101|20111231|
0329|142095|100095|groen|5653000|0|0|20090101|20091231|
0329|142096|100096|groen|5757200|0|0|20090101|20091231|
0329|142097|100097|groen|6105200|0|0|20090101|20091231|
0329|142098|100098|groen|6352300|0|0|20090101|20091231|
0329|142100|100099|groen|5094000|0|0|20090101|20091231|
0329|142100|100099|groen|4974300|0|0|20100101|20101231|
0329|142100|100099|groen|5059661|0|0|20110101|20111231|
0329|142101|100100|groen|5114400|0|0|20090101|20091231|
0329|142101|100100|groen|4994200|0|0|20100101|20101231|
0329|142101|100100|groen|5079902|0|0|20110101|20111231|
0329|142102|100101|groen|5191300|0|0|20090101|20091231|
0329|142103|100102|groen|5218200|0|0|20090101|20091231|
0329|142104|100103|groen|5374300|0|0|20090101|20091231|
0329|142104|100103|groen|5248000|0|0|20100101|20101231|
0329|142104|100103|groen|5338058|0|0|20110101|20111231|
0329|142105|100104|groen|5631100|0|0|20090101|20091231|
0329|142105|100104|groen|5498800|0|0|20100101|20101231|
0329|142105|100104|groen|5593161|0|0|20110101|20111231|
0329|142107|100105|groen|5093200|0|0|20090101|20091231|
0329|142107|100105|groen|4973500|0|0|20100101|20101231|
0329|142107|100105|groen|5058847|0|0|20110101|20111231|
0329|142108|100106|groen|5107300|0|0|20090101|20091231|
0329|142108|100106|groen|4987400|0|0|20100101|20101231|
0329|142108|100106|groen|5072986|0|0|20110101|20111231|
0329|142109|100107|groen|5194800|0|0|20090101|20091231|
0329|142110|100108|groen|5216900|0|0|20090101|20091231|
0329|142111|100109|groen|5393300|0|0|20090101|20091231|
0329|142111|100109|groen|5266600|0|0|20100101|20101231|
0329|142111|100109|groen|5356977|0|0|20110101|20111231|
0329|142112|100110|groen|5661200|0|0|20090101|20091231|
0329|142112|100110|groen|5528200|0|0|20100101|20101231|
0329|142112|100110|groen|5623066|0|0|20110101|20111231|
0329|142114|100111|groen|5101000|0|0|20090101|20091231|
0329|142114|100111|groen|4981200|0|0|20100101|20101231|
0329|142114|100111|groen|5066679|0|0|20110101|20111231|
0329|142115|100112|groen|5121200|0|0|20090101|20091231|
0329|142115|100112|groen|5000800|0|0|20100101|20101231|
0329|142115|100112|groen|5086615|0|0|20110101|20111231|
0329|142116|100113|groen|5200600|0|0|20090101|20091231|
0329|142117|100114|groen|5231700|0|0|20090101|20091231|
0329|142118|100115|groen|5405000|0|0|20090101|20091231|
0329|142118|100115|groen|5278000|0|0|20100101|20101231|
0329|142118|100115|groen|5368572|0|0|20110101|20111231|
0329|142119|100116|groen|5674700|0|0|20090101|20091231|
0329|142119|100116|groen|5541400|0|0|20100101|20101231|
0329|142119|100116|groen|5636492|0|0|20110101|20111231|
0329|142121|100117|groen|5108000|0|0|20090101|20091231|
0329|142121|100117|groen|4988000|0|0|20100101|20101231|
0329|142121|100117|groen|5073596|0|0|20110101|20111231|
0329|142122|100118|groen|5206900|0|0|20090101|20091231|
0329|142123|100119|groen|5239600|0|0|20090101|20091231|
0329|142124|100120|groen|5376400|0|0|20090101|20091231|
0329|142124|100120|groen|5250100|0|0|20100101|20101231|
0329|142124|100120|groen|5340194|0|0|20110101|20111231|
0329|142125|100121|groen|5414100|0|0|20090101|20091231|
0329|142125|100121|groen|5286900|0|0|20100101|20101231|
0329|142125|100121|groen|5377625|0|0|20110101|20111231|
0329|142126|100122|groen|5626000|0|0|20090101|20091231|
0329|142127|100123|groen|5729000|0|0|20090101|20091231|
0329|142128|100124|groen|6107200|0|0|20090101|20091231|
0329|142129|100125|groen|6342900|0|0|20090101|20091231|
0329|142131|100126|groen|6244500|0|0|20090101|20091231|
0329|142131|100126|groen|6097800|0|0|20100101|20101231|
0329|142131|100126|groen|6202441|0|0|20110101|20111231|
0329|142132|100127|groen|8112900|0|0|20090101|20091231|
0329|142133|100128|groen|6274700|0|0|20090101|20091231|
0329|142133|100128|groen|6127300|0|0|20100101|20101231|
0329|142133|100128|groen|6232447|0|0|20110101|20111231|
0329|142134|100129|groen|7780600|0|0|20090101|20091231|
0329|142135|100130|groen|5655400|0|0|20090101|20091231|
0329|142135|100130|groen|5522600|0|0|20100101|20101231|
0329|142135|100130|groen|5617370|0|0|20110101|20111231|
0329|142136|100131|groen|6299600|0|0|20090101|20091231|
0329|142137|100132|groen|6209100|0|0|20090101|20091231|
0329|142137|100132|groen|6063300|0|0|20100101|20101231|
0329|142137|100132|groen|6167349|0|0|20110101|20111231|
0329|142138|100133|groen|8381100|0|0|20090101|20091231|
0329|142139|100134|groen|6247500|0|0|20090101|20091231|
0329|142139|100134|groen|6100700|0|0|20100101|20101231|
0329|142139|100134|groen|6205390|0|0|20110101|20111231|
0329|142140|100135|groen|8036700|0|0|20090101|20091231|
0329|142141|100136|groen|6262500|0|0|20090101|20091231|
0329|142141|100136|groen|6115400|0|0|20100101|20101231|
0329|142141|100136|groen|6220343|0|0|20110101|20111231|
0329|142142|100137|groen|8135700|0|0|20090101|20091231|
0329|142143|100138|groen|7096800|0|0|20090101|20091231|
0329|142143|100138|groen|6930100|0|0|20100101|20101231|
0329|142143|100138|groen|7049023|0|0|20110101|20111231|
